Plant,Genotype,Treatment,Replicate,ColorbyGenotype,ColorbyPhenotype,Color,DOFF,DOLF,DurationFlowering,SumFlowers,LeafSum14,LeafSum26,LeafSum34,LeafNum14,LeafNum26,LeafNum34,Height14,Height26,Height34
16-4-3,16,4,3,PinkL,Pink,Pink,49,80,32,82,0,11.3,42.8,0,3,7,5.5,22,78
16-1-4,16,1,4,PinkL,Pink,Pink,51,80,30,86,11.3,22.2,41.7,3,5,8,29.4,58,61
16-2-2,16,2,2,PinkL,Pink,Pink,52,80,29,117,9.6,25,63.3,3,6,12,7.2,64,100
16-1-3,16,1,3,PinkL,Pink,Pink,52,80,29,122,6.8,24.5,50.6,2,6,9,9.6,81,123
16-3-3,16,3,3,PinkL,Pink,Pink,57,80,24,58,5.1,15.3,38.2,2,4,8,6,32.5,84
16-1-6,16,1,6,PinkL,Pink,Pink,63,80,18,16,7.7,18.5,48.7,3,5,10,6,45,108
16-2-5,16,2,5,PinkL,Pink,Pink,50,80,31,143,10.3,25,54.7,3,5,10,10.5,89,91
16-1-2,16,1,2,PinkL,Pink,Pink,57,80,24,34,9.4,23.8,51,3,6,10,6.4,66,62
16-1-1,16,1,1,PinkL,Pink,Pink,48,79,32,75,6,16.5,35.1,2,5,12,9.2,37.5,61
16-4-1,16,4,1,PinkL,Pink,Pink,51,80,30,80,5.7,18.5,38.2,2,5,10,8.8,53,45
16-3-5,16,3,5,PinkL,Pink,Pink,55,80,26,33,1.2,12,30.3,1,3,7,6.3,14.5,66
16-2-3,16,2,3,PinkL,Pink,Pink,46,80,35,68,3.4,18.8,34,1,4,8,7.4,51,69
16-3-2,16,3,2,PinkL,Pink,Pink,53,79,27,95,4.9,14.8,23.5,2,4,6,4,7,38
16-2-4,16,2,4,PinkL,Pink,Pink,50,80,31,60,5,23.3,39,2,5,9,6.6,63,105
16-3-4,16,3,4,PinkL,Pink,Pink,52,80,29,41,7.6,16.1,36.1,3,4,8,9,24,76
16-4-2,16,4,2,PinkL,Pink,Pink,63,80,18,15,5.8,19.5,46.3,2,5,9,7.4,40,112
16-2-6,16,2,6,PinkL,Pink,Pink,50,79,30,44,5.2,21.5,49.6,2,5,11,5.5,65,103
16-4-4,16,4,4,PinkL,Pink,Pink,57,80,24,29,3,20.9,39.8,1,5,9,6,48,100
16-1-5,16,1,5,PinkL,Pink,Pink,53,80,28,36,8.9,22.5,60.7,3,7,13,25,60,102
16-2-1,16,2,1,PinkL,Pink,Pink,51,77,27,52,6.2,20.5,56.1,2,5,12,7.1,74,88
16-3-6,16,3,6,PinkL,Pink,Pink,57,80,24,35,4.6,16.2,34.3,2,5,7,7,24,46
17-1-1,17,1,1,PinkL,Pink,Pink,52,80,29,66,6.2,22.3,44.6,2,5,9,4.2,52,73
17-3-5,17,3,5,PinkL,Pink,Pink,59,77,19,29,0,7,24,0,2,5,7.1,25,65
17-3-4,17,3,4,PinkL,Pink,Pink,48,78,31,60,0,4.6,21.5,0,2,5,2.5,8,41
17-2-2,17,2,2,PinkL,Pink,Pink,47,80,34,44,7.7,17.1,36.3,2,4,8,11,69,79
17-2-4,17,2,4,PinkL,Pink,Pink,50,80,31,39,5.3,17.7,30.9,2,4,6,6.7,61,62
17-4-5,17,4,5,PinkL,Pink,Pink,71,79,9,4,6.3,17.8,45.9,2,4,11,7,52.2,76
17-3-1,17,3,1,PinkL,Pink,Pink,55,80,26,71,4,11.5,27.9,2,3,7,5.6,17.6,62
17-4-4,17,4,4,PinkL,Pink,Pink,51,79,29,29,1.2,8.5,26.1,1,3,6,2.2,5,41
17-3-3,17,3,3,PinkL,Pink,Pink,48,73,26,45,5.5,10.5,27.5,2,4,7,7.4,45,83
17-4-3,17,4,3,PinkL,Pink,Pink,49,79,31,8,5.2,16.8,31,2,5,9,16,69.5,105
17-1-5,17,1,5,PinkL,Pink,Pink,40,79,40,75,6.8,19.4,32.8,3,6,9,14.4,62,122
17-2-5,17,2,5,PinkL,Pink,Pink,42,73,32,45,7.4,21.5,50.8,2,5,10,13.8,40,95
17-2-3,17,2,3,PinkL,Pink,Pink,47,75,29,46,2.3,21,40.9,1,5,10,6.5,40,97
17-2-1,17,2,1,PinkL,Pink,Pink,50,79,30,20,5.6,28,52.4,2,6,13,4.2,69,91
17-2-6,17,2,6,PinkL,Pink,Pink,54,80,27,37,5.6,22.4,42.1,2,6,11,5.2,51,66
17-1-3,17,1,3,PinkL,Pink,Pink,58,79,22,22,6.7,17,50.1,2,4,10,11.5,39,100
17-3-2,17,3,2,PinkL,Pink,Pink,56,80,25,33,1,4.8,15.7,1,4,6,2.8,2.5,23
17-4-6,17,4,6,PinkL,Pink,Pink,52,80,29,38,4.2,14.9,40.7,2,4,10,7.4,50,91
18-2-5,18,2,5,Pink,Pink,Pink,52,79,28,83,5.5,15.5,38.1,2,4,8,7.9,39.2,59
18-4-1,18,4,1,Pink,Pink,Pink,48,77,30,51,6,23.5,49.1,2,6,10,8.4,70,131
18-1-4,18,1,4,Pink,Pink,Pink,51,80,30,89,6.5,21.9,40.6,2,5,8,5.9,59,110
18-1-1,18,1,1,Pink,Pink,Pink,43,80,38,88,4,19.7,37.5,1,4,7,5.2,40,62.5
18-4-5,18,4,5,Pink,Pink,Pink,52,80,29,31,5.9,22.3,47.5,2,5,9,6.7,73,74
18-4-4,18,4,4,Pink,Pink,Pink,19,80,62,28,6.5,19.8,45,2,5,9,11.6,60,65
18-3-3,18,3,3,Pink,Pink,Pink,49,79,31,66,5,15.1,32.1,2,4,7,6.2,35,72
18-2-6,18,2,6,Pink,Pink,Pink,50,80,31,57,8,27.6,43.6,2,6,8,11.1,80,81
18-1-6,18,1,6,Pink,Pink,Pink,60,78,19,21,4.7,14.8,45.9,2,4,10,4.8,59,93
18-1-2,18,1,2,Pink,Pink,Pink,31,80,50,85,0.2,18.6,38,1,4,7,7.9,54.5,54
18-3-1,18,3,1,Pink,Pink,Pink,45,79,35,56,1.5,6.5,15.5,1,2,4,4.2,8,28
18-4-6,18,4,6,Pink,Pink,Pink,52,80,29,33,2.1,11.5,14.8,1,3,4,5.2,16,52
18-1-5,18,1,5,Pink,Pink,Pink,46,79,34,45,5.7,72.5,42,2,6,10,6,60,109
18-2-4,18,2,4,Pink,Pink,Pink,32,80,49,102,6.7,24.8,40,2,6,10,9.2,68,112
18-4-3,18,4,3,Pink,Pink,Pink,50,80,31,37,3.5,25.5,54,1,6,12,9,60,113
18-2-1,18,2,1,Pink,Pink,Pink,51,78,28,22,3.7,18,56.1,1,4,11,8,59,77
18-3-2,18,3,2,Pink,Pink,Pink,54,80,27,20,0,4.4,15.8,0,2,4,0,4,28
18-4-2,18,4,2,Pink,Pink,Pink,54,80,27,21,1.7,14.1,37.3,1,4,9,3.1,20,71
19-4-2,19,4,2,PinkD,Pink,Pink,52,80,29,29,0,0,2,0,0,2,0,0,3
19-4-1,19,4,1,PinkD,Pink,Pink,7,79,73,50,0,8.1,20.5,0,3,5,4.3,8,44
19-1-4,19,1,4,PinkD,Pink,Pink,55,79,25,33,2.9,13,34.5,1,4,8,7.5,53.5,55
19-1-1,19,1,1,PinkD,Pink,Pink,54,79,26,105,2.9,14.5,34.3,1,4,7,6.2,39,75
19-2-1,19,2,1,PinkD,Pink,Pink,54,79,26,50,0,13,31.8,0,4,7,0,31,81
19-1-3,19,1,3,PinkD,Pink,Pink,49,80,32,85,5.4,16.4,39.1,2,5,9,7.6,51,55
19-1-2,19,1,2,PinkD,Pink,Pink,54,80,27,31,4.7,16.5,24.7,2,4,7,6.2,42,82
19-1-5,19,1,5,PinkD,Pink,Pink,33,78,46,100,2.1,7,23.4,1,3,6,5.1,28,66
19-2-3,19,2,3,PinkD,Pink,Pink,56,80,25,57,2.2,14.8,37,1,4,8,6.1,51.5,97
21-2-5,21,2,5,White,White,White,29,66,38,64,4.8,21.3,46,2,5,8,5,66,65
21-3-6,21,3,6,White,White,White,25,77,53,56,6.1,13.5,24,2,4,6,7.2,51,54
21-2-1,21,2,1,White,White,White,24,80,57,112,7.7,23.7,54.5,2,5,12,8.1,69,69
21-4-2,21,4,2,White,White,White,1,78,78,68,2.9,12.5,38,1,4,9,7,88,58
21-3-3,21,3,3,White,White,White,25,74,50,159,5.6,18,45.2,2,4,11,6.9,51,49
21-2-3,21,2,3,White,White,White,25,80,56,115,7.4,22.5,58.4,2,5,12,11.2,78,94
21-4-3,21,4,3,White,White,White,31,80,50,79,5.1,18.5,39,2,5,11,8,64,110
21-4-4,21,4,4,White,White,White,30,80,51,81,1.7,13,23,1,4,6,3.5,37.5,63
21-1-4,21,1,4,White,White,White,24,75,52,118,5.7,16.3,42,2,4,11,10.5,57,70
21-1-5,21,1,5,White,White,White,27,75,49,49,0,5.8,15,0,2,5,2.5,6.5,44
21-2-6,21,2,6,White,White,White,24,79,56,144,8.1,27.3,71.5,2,6,15,16.1,75,105
21-3-4,21,3,4,White,White,White,16,77,62,75,4.8,15.2,37.4,2,4,9,5.4,52,96
21-4-1,21,4,1,White,White,White,24,75,52,121,2.6,21.5,42.8,1,5,9,6,50.5,107
21-3-2,21,3,2,White,White,White,24,72,49,98,5.1,17.2,37.6,2,4,9,6.6,47,55
21-3-1,21,3,1,White,White,White,8,72,65,24,1.3,10,30.1,1,3,7,3.2,23,62
21-4-5,21,4,5,White,White,White,28,69,42,61,6.8,19.8,52.4,2,5,11,18.5,68,86
21-1-6,21,1,6,White,White,White,27,65,39,34,5.1,14.7,47.2,2,4,14,10,44,81
21-3-5,21,3,5,White,White,White,34,80,47,12,2.5,14.1,41.4,1,4,11,5,46,83
21-2-4,21,2,4,White,White,White,25,78,54,101,2,22.8,74.9,3.5,6,17,7.8,23,103
21-4-6,21,4,6,White,White,White,38,76,39,42,2.8,14,38.6,1,4,9,8.5,31,67
21-1-2,21,1,2,White,White,White,24,68,45,111,6.1,16,43.4,2,5,10,14.5,50,77
22-4-2,22,4,2,White,White,White,49,80,32,89,2.7,17.1,42,1,4,7,7.9,51,96
22-3-3,22,3,3,White,White,White,39,80,42,100,2.6,11.2,27.3,1,3,6,9,32,32
22-3-6,22,3,6,White,White,White,54,80,27,40,5.8,13.5,37.8,2,4,10,9.1,62,54
22-4-3,22,4,3,White,White,White,46,79,34,63,2.9,16,41.5,1,4,10,5.8,47,50
22-4-5,22,4,5,White,White,White,50,80,31,76,2.1,16.5,36.4,1,4,8,5.2,27,42
22-3-2,22,3,2,White,White,White,47,80,34,83,0,2.5,17.3,0,3,6,0,6,23
22-2-6,22,2,6,White,White,White,47,80,34,93,2.1,19.1,43,1,4,9,5.2,39,101
22-3-1,22,3,1,White,White,White,52,79,28,47,6.1,16.8,28.8,2,4,7,5.8,18,50
22-4-4,22,4,4,White,White,White,51,80,30,81,7.3,30.2,73.3,2,6,16,14,61,81
22-1-1,22,1,1,White,White,White,42,80,39,102,2.9,22,47.5,1,5,9,9.4,55,117
22-2-5,22,2,5,White,White,White,27,80,54,208,7.7,24.5,75.5,2,6,17,26.4,79,108
22-1-5,22,1,5,White,White,White,58,79,22,21,0,8.9,19.7,0,3,5,0,4.5,26
22-2-4,22,2,4,White,White,White,30,79,50,133,7.4,21.1,66.4,2,5,15,17.1,76.5,77
22-1-2,22,1,2,White,White,White,42,80,39,94,6.4,21.3,54.2,2,5,13,10.9,77,90
22-2-1,22,2,1,White,White,White,51,78,28,85,7.1,23.7,61.1,2,7,16,11,85,87
22-4-1,22,4,1,White,White,White,26,80,55,128,2,15.1,40.9,1,4,8,5,45.5,90
22-2-3,22,2,3,White,White,White,31,79,49,130,2.9,23.1,63.3,1,5,13,7.6,77,83
22-2-2,22,2,2,White,White,White,40,79,40,75,4.6,13.7,32.5,2,4,9,8.6,50,52
