"","Plant","Genotype","Treatment","Replicate","ColorbyGenotype","ColorbyPhenotype","Color","DOFF","DOLF","DurationFlowering","SumFlowers","LeafSum14","LeafSum26","LeafSum34","LeafNum14","LeafNum26","LeafNum34","Height14","Height26","Height34","LeafSumRGRA","LeafSumRGRB","LeafSumRGRC","LeafNumRGRA","LeafNumRGRB","LeafNumRGRC","HeightRGRA","HeightRGRB","HeightRGRC"
"165","18-2-4","18","Autoclave Inoculum","4","Pink","Pink","Pink",99,147,49,102,6.7,24.8,40,2,6,10,9.2,68,112,1.50833333333333,1.9,1.665,0.333333333333333,0.5,0.4,4.9,5.5,5.14
"166","18-4-3","18","Autoclave","3","Pink","Pink","Pink",117,147,31,37,3.5,25.5,54,1,6,12,9,60,113,1.83333333333333,3.5625,2.525,0.416666666666667,0.75,0.55,4.25,6.625,5.2
"167","18-2-1","18","Autoclave Inoculum","1","Pink","Pink","Pink",118,145,28,22,3.7,18,56.1,1,4,11,8,59,77,1.19166666666667,4.7625,2.62,0.25,0.875,0.5,4.25,2.25,3.45
"168","18-4-2","18","Autoclave","2","Pink","Pink","Pink",121,147,27,21,1.7,14.1,37.3,1,4,9,3.1,20,71,1.03333333333333,2.9,1.78,0.25,0.625,0.4,1.40833333333333,6.375,3.395
"169","19-4-2","19","Autoclave","2","PinkD","Pink","Pink",119,147,29,29,0,0,2,0,0,2,0,0,3,0,0.25,0.1,0,0.25,0.1,0,0.375,0.15
"170","19-4-1","19","Autoclave","1","PinkD","Pink","Pink",74,146,73,50,0,8.1,20.5,0,3,5,4.3,8,44,0.675,1.55,1.025,0.25,0.25,0.25,0.308333333333333,4.5,1.985
"171","19-2-1","19","Autoclave Inoculum","1","PinkD","Pink","Pink",121,146,26,50,0,13,31.8,0,4,7,0,31,81,1.08333333333333,2.35,1.59,0.333333333333333,0.375,0.35,2.58333333333333,6.25,4.05
"172","19-2-3","19","Autoclave Inoculum","3","PinkD","Pink","Pink",123,147,25,57,2.2,14.8,37,1,4,8,6.1,51.5,97,1.05,2.775,1.74,0.25,0.5,0.35,3.78333333333333,5.6875,4.545
"173","21-2-5","21","Autoclave Inoculum","5","White","White","White",96,133,38,64,4.8,21.3,46,2,5,8,5,66,65,1.375,3.0875,2.06,0.25,0.375,0.3,5.08333333333333,-0.125,3
"174","21-2-1","21","Autoclave Inoculum","1","White","White","White",91,147,57,112,7.7,23.7,54.5,2,5,12,8.1,69,69,1.33333333333333,3.85,2.34,0.25,0.875,0.5,5.075,0,3.045
"175","21-4-2","21","Autoclave","2","White","White","White",68,145,78,68,2.9,12.5,38,1,4,9,7,88,58,0.8,3.1875,1.755,0.25,0.625,0.4,6.75,-3.75,2.55
"176","21-2-3","21","Autoclave Inoculum","3","White","White","White",92,147,56,115,7.4,22.5,58.4,2,5,12,11.2,78,94,1.25833333333333,4.4875,2.55,0.25,0.875,0.5,5.56666666666667,2,4.14
"177","21-4-3","21","Autoclave","3","White","White","White",98,147,50,79,5.1,18.5,39,2,5,11,8,64,110,1.11666666666667,2.5625,1.695,0.25,0.75,0.45,4.66666666666667,5.75,5.1
"178","21-4-4","21","Autoclave","4","White","White","White",97,147,51,81,1.7,13,23,1,4,6,3.5,37.5,63,0.941666666666667,1.25,1.065,0.25,0.25,0.25,2.83333333333333,3.1875,2.975
"179","21-2-6","21","Autoclave Inoculum","6","White","White","White",91,146,56,144,8.1,27.3,71.5,2,6,15,16.1,75,105,1.6,5.525,3.17,0.333333333333333,1.125,0.65,4.90833333333333,3.75,4.445
"180","21-4-1","21","Autoclave","1","White","White","White",91,142,52,121,2.6,21.5,42.8,1,5,9,6,50.5,107,1.575,2.6625,2.01,0.333333333333333,0.5,0.4,3.70833333333333,7.0625,5.05
"181","21-4-5","21","Autoclave","5","White","White","White",95,136,42,61,6.8,19.8,52.4,2,5,11,18.5,68,86,1.08333333333333,4.075,2.28,0.25,0.75,0.45,4.125,2.25,3.375
"182","21-2-4","21","Autoclave Inoculum","4","White","White","White",92,145,54,101,2,22.8,74.9,3.5,6,17,7.8,23,103,1.73333333333333,6.5125,3.645,0.208333333333333,1.375,0.675,1.26666666666667,10,4.76
"183","21-4-6","21","Autoclave","6","White","White","White",105,143,39,42,2.8,14,38.6,1,4,9,8.5,31,67,0.933333333333333,3.075,1.79,0.25,0.625,0.4,1.875,4.5,2.925
"184","22-4-2","22","Autoclave","2","White","White","White",116,147,32,89,2.7,17.1,42,1,4,7,7.9,51,96,1.2,3.1125,1.965,0.25,0.375,0.3,3.59166666666667,5.625,4.405
"185","22-4-3","22","Autoclave","3","White","White","White",113,146,34,63,2.9,16,41.5,1,4,10,5.8,47,50,1.09166666666667,3.1875,1.93,0.25,0.75,0.45,3.43333333333333,0.375,2.21
"186","22-4-5","22","Autoclave","5","White","White","White",117,147,31,76,2.1,16.5,36.4,1,4,8,5.2,27,42,1.2,2.4875,1.715,0.25,0.5,0.35,1.81666666666667,1.875,1.84
"187","22-2-6","22","Autoclave Inoculum","6","White","White","White",114,147,34,93,2.1,19.1,43,1,4,9,5.2,39,101,1.41666666666667,2.9875,2.045,0.25,0.625,0.4,2.81666666666667,7.75,4.79
"188","22-4-4","22","Autoclave","4","White","White","White",118,147,30,81,7.3,30.2,73.3,2,6,16,14,61,81,1.90833333333333,5.3875,3.3,0.333333333333333,1.25,0.7,3.91666666666667,2.5,3.35
"189","22-2-5","22","Autoclave Inoculum","5","White","White","White",94,147,54,208,7.7,24.5,75.5,2,6,17,26.4,79,108,1.4,6.375,3.39,0.333333333333333,1.375,0.75,4.38333333333333,3.625,4.08
"190","22-2-4","22","Autoclave Inoculum","4","White","White","White",97,146,50,133,7.4,21.1,66.4,2,5,15,17.1,76.5,77,1.14166666666667,5.6625,2.95,0.25,1.25,0.65,4.95,0.0625,2.995
"191","22-2-1","22","Autoclave Inoculum","1","White","White","White",118,145,28,85,7.1,23.7,61.1,2,7,16,11,85,87,1.38333333333333,4.675,2.7,0.416666666666667,1.125,0.7,6.16666666666667,0.25,3.8
"192","22-4-1","22","Autoclave","1","White","White","White",93,147,55,128,2,15.1,40.9,1,4,8,5,45.5,90,1.09166666666667,3.225,1.945,0.25,0.5,0.35,3.375,5.5625,4.25
"193","22-2-3","22","Autoclave Inoculum","3","White","White","White",98,146,49,130,2.9,23.1,63.3,1,5,13,7.6,77,83,1.68333333333333,5.025,3.02,0.333333333333333,1,0.6,5.78333333333333,0.75,3.77
"194","22-2-2","22","Autoclave Inoculum","2","White","White","White",107,146,40,75,4.6,13.7,32.5,2,4,9,8.6,50,52,0.758333333333333,2.35,1.395,0.166666666666667,0.625,0.35,3.45,0.25,2.17
